Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsFanDuel,FantasyPointsPerDollarRatioFanDuel,FanShareProjectedOwnershipPercentage,Operator,OperatorSalary
1,David Johnson,ARI,RB,1,DET,24,8,20.86,2.22,null,FanDuel,9400
2,Le'Veon Bell,PIT,RB,1,CLE,31,31,21.31,2.29,null,FanDuel,9300
3,Antonio Brown,PIT,WR,1,CLE,31,25,17.17,1.89,null,FanDuel,9100
4,Julio Jones,ATL,WR,1,CHI,20,27,15.88,1.76,null,FanDuel,9000
5,Tom Brady,NE,QB,1,KC,11,10,20.06,2.25,null,FanDuel,8900
6,Odell Beckham Jr,NYG,WR,1,DAL,14,11,0,0,null,FanDuel,8800
7,Ezekiel Elliott,DAL,RB,1,NYG,6,6,17.28,1.99,null,FanDuel,8700
8,Drew Brees,NO,QB,1,MIN,5,6,18.2,2.12,null,FanDuel,8600
9,Matt Ryan,ATL,QB,1,CHI,20,20,18.72,2.2,null,FanDuel,8500
9,LeSean McCoy,BUF,RB,1,NYJ,21,19,16.36,1.92,null,FanDuel,8500
11,AJ Green,CIN,WR,1,BAL,8,20,13.74,1.64,null,FanDuel,8400
12,Aaron Rodgers,GB,QB,1,SEA,4,4,20.26,2.44,null,FanDuel,8300
12,Devonta Freeman,ATL,RB,1,CHI,20,13,15.11,1.82,null,FanDuel,8300
14,Ben Roethlisberger,PIT,QB,1,CLE,31,32,16.75,2.04,null,FanDuel,8200
15,Kirk Cousins,WAS,QB,1,PHI,10,7,16.81,2.08,null,FanDuel,8100
15,Andrew Luck,IND,QB,1,LAR,15,25,0,0,null,FanDuel,8100
17,Russell Wilson,SEA,QB,1,GB,28,26,19.47,2.43,null,FanDuel,8000
17,Rob Gronkowski,NE,TE,1,KC,11,5,13.11,1.64,null,FanDuel,8000
17,TY Hilton,IND,WR,1,LAR,15,28,11.2,1.4,null,FanDuel,8000
20,Cam Newton,CAR,QB,1,SF,32,23,18.61,2.36,null,FanDuel,7900
20,Michael Thomas,NO,WR,1,MIN,5,3,12.53,1.59,null,FanDuel,7900
22,Marcus Mariota,TEN,QB,1,LV,22,22,18.59,2.38,null,FanDuel,7800
22,Dak Prescott,DAL,QB,1,NYG,6,2,16.46,2.11,null,FanDuel,7800
22,Dez Bryant,DAL,WR,1,NYG,6,7,13,1.67,null,FanDuel,7800
25,Derek Carr,LV,QB,1,TEN,19,28,18.36,2.38,null,FanDuel,7700
25,Jordy Nelson,GB,WR,1,SEA,4,17,14.48,1.88,null,FanDuel,7700
27,Matthew Stafford,DET,QB,1,ARI,7,12,16.13,2.12,null,FanDuel,7600
27,DeMarco Murray,TEN,RB,1,LV,22,23,14.31,1.88,null,FanDuel,7600
27,Amari Cooper,LV,WR,1,TEN,19,31,13.84,1.82,null,FanDuel,7600
30,Tyrod Taylor,BUF,QB,1,NYJ,21,21,16.15,2.15,null,FanDuel,7500
30,Jordan Howard,CHI,RB,1,ATL,29,25,15.1,2.01,null,FanDuel,7500
30,Doug Baldwin,SEA,WR,1,GB,28,32,13.87,1.85,null,FanDuel,7500
33,Andy Dalton,CIN,QB,1,BAL,8,9,16.99,2.3,null,FanDuel,7400
33,Melvin Gordon,LAC,RB,1,DEN,1,21,13.72,1.85,null,FanDuel,7400
33,Brandin Cooks,NE,WR,1,KC,11,15,12.97,1.75,null,FanDuel,7400
36,Carson Palmer,ARI,QB,1,DET,24,30,16.58,2.27,null,FanDuel,7300
36,Todd Gurley,LAR,RB,1,IND,26,27,16.2,2.22,null,FanDuel,7300
36,Eli Manning,NYG,QB,1,DAL,14,17,15.8,2.16,null,FanDuel,7300
36,Lamar Miller,HOU,RB,1,JAX,13,14,13.28,1.82,null,FanDuel,7300
40,Blake Bortles,JAX,QB,1,HOU,3,3,12.37,1.72,null,FanDuel,7200
40,CJ Anderson,DEN,RB,1,LAC,16,24,12.34,1.71,null,FanDuel,7200
40,Demaryius Thomas,DEN,WR,1,LAC,16,8,11.87,1.65,null,FanDuel,7200
40,Mike Estes,null,WR,1,DEN,null,null,null,null,null,FanDuel,7200
40,Brian Riley,null,WR,1,LAR,null,null,null,null,null,FanDuel,7200
40,Daniel Williams,null,WR,1,BUF,null,null,null,null,null,FanDuel,7200
40,Justice Liggins,null,WR,1,LAR,null,null,null,null,null,FanDuel,7200
40,Rashard Davis,null,WR,1,WAS,null,null,null,null,null,FanDuel,7200
48,Carson Wentz,PHI,QB,1,WAS,23,18,15.85,2.23,null,FanDuel,7100
48,Philip Rivers,LAC,QB,1,DEN,1,1,15.24,2.15,null,FanDuel,7100
48,DeAndre Hopkins,HOU,WR,1,JAX,13,6,13.44,1.89,null,FanDuel,7100
48,Leonard Fournette,JAX,RB,1,HOU,3,15,11.61,1.64,null,FanDuel,7100
48,Jordan Reed,WAS,TE,1,PHI,10,2,10.46,1.47,null,FanDuel,7100
53,Sam Bradford,MIN,QB,1,NO,30,27,16.24,2.32,null,FanDuel,7000
53,Alshon Jeffery,PHI,WR,1,WAS,23,13,11.46,1.64,null,FanDuel,7000
53,Keenan Allen,LAC,WR,1,DEN,1,1,10.38,1.48,null,FanDuel,7000
56,Alex Smith,KC,QB,1,NE,2,11,14.69,2.13,null,FanDuel,6900
56,Joe Flacco,BAL,QB,1,CIN,12,14,14.28,2.07,null,FanDuel,6900
56,Michael Crabtree,LV,WR,1,TEN,19,31,12.67,1.84,null,FanDuel,6900
56,Marshawn Lynch,LV,RB,1,TEN,19,2,11.66,1.69,null,FanDuel,6900
56,Sammy Watkins,LAR,WR,1,IND,26,12,10.99,1.59,null,FanDuel,6900
56,Golden Tate,DET,WR,1,ARI,7,22,10.73,1.56,null,FanDuel,6900
62,Carlos Hyde,SF,RB,1,CAR,25,10,11.51,1.69,null,FanDuel,6800
62,Brandon Marshall,NYG,WR,1,DAL,14,11,10.56,1.55,null,FanDuel,6800
62,Davante Adams,GB,WR,1,SEA,4,17,10.07,1.48,null,FanDuel,6800
62,Paxton Lynch,DEN,QB,1,LAC,16,15,0,0,null,FanDuel,6800
66,Trevor Siemian,DEN,QB,1,LAC,16,15,13.61,2.03,null,FanDuel,6700
66,Mike Glennon,CHI,QB,1,ATL,29,31,12.98,1.94,null,FanDuel,6700
66,Allen Robinson,JAX,WR,1,HOU,3,5,10.77,1.61,null,FanDuel,6700
66,Tyreek Hill,KC,WR,1,NE,2,9,10.48,1.56,null,FanDuel,6700
70,Jared Goff,LAR,QB,1,IND,26,24,13.44,2.04,null,FanDuel,6600
70,Stefon Diggs,MIN,WR,1,NO,30,23,12.24,1.85,null,FanDuel,6600
70,Greg Olsen,CAR,TE,1,SF,32,18,11.41,1.73,null,FanDuel,6600
70,Emmanuel Sanders,DEN,WR,1,LAC,16,8,11.37,1.72,null,FanDuel,6600
70,Josh McCown,NYJ,QB,1,BUF,17,13,10.83,1.64,null,FanDuel,6600
70,Pierre Garcon,SF,WR,1,CAR,25,21,10.75,1.63,null,FanDuel,6600
70,Ty Montgomery,GB,RB,1,SEA,4,5,10.23,1.55,null,FanDuel,6600
77,Dalvin Cook,MIN,RB,1,NO,30,30,12.21,1.88,null,FanDuel,6500
77,Travis Kelce,KC,TE,1,NE,2,6,11.68,1.8,null,FanDuel,6500
77,Christian McCaffrey,CAR,RB,1,SF,32,32,11.28,1.74,null,FanDuel,6500
77,Tom Savage,HOU,QB,1,JAX,13,8,10.86,1.67,null,FanDuel,6500
77,Kelvin Benjamin,CAR,WR,1,SF,32,26,10.74,1.65,null,FanDuel,6500
77,Isaiah Crowell,CLE,RB,1,PIT,9,26,10.57,1.63,null,FanDuel,6500
77,Martavis Bryant,PIT,WR,1,CLE,31,25,10.19,1.57,null,FanDuel,6500
77,Jamison Crowder,WAS,WR,1,PHI,10,30,10.16,1.56,null,FanDuel,6500
77,Danny Woodhead,BAL,RB,1,CIN,12,18,9.08,1.4,null,FanDuel,6500
77,Eric Decker,TEN,WR,1,LV,22,14,9.05,1.39,null,FanDuel,6500
77,Deshaun Watson,HOU,QB,1,JAX,13,8,1.22,0.19,null,FanDuel,6500
77,Cameron Meredith,CHI,WR,1,ATL,29,19,0,0,null,FanDuel,6500
89,Larry Fitzgerald,ARI,WR,1,DET,24,24,12.59,1.97,null,FanDuel,6400
89,Brian Hoyer,SF,QB,1,CAR,25,19,12.48,1.95,null,FanDuel,6400
89,Kareem Hunt,KC,RB,1,NE,2,3,10.73,1.68,null,FanDuel,6400
89,Mark Ingram,NO,RB,1,MIN,5,7,9.4,1.47,null,FanDuel,6400
89,Joe Mixon,CIN,RB,1,BAL,8,9,8.85,1.38,null,FanDuel,6400
89,Mike Gillislee,NE,RB,1,KC,11,20,8.74,1.37,null,FanDuel,6400
89,Terrance West,BAL,RB,1,CIN,12,18,8.37,1.31,null,FanDuel,6400
89,Tyrell Williams,LAC,WR,1,DEN,1,1,6.83,1.07,null,FanDuel,6400
89,Brock Osweiler,DEN,QB,1,LAC,16,15,0.46,0.07,null,FanDuel,6400
89,Spencer Ware,KC,RB,1,NE,2,3,0,0,null,FanDuel,6400
89,Cody Kessler,CLE,QB,1,PIT,9,5,0,0,null,FanDuel,6400
100,Bilal Powell,NYJ,RB,1,BUF,17,29,10.62,1.69,null,FanDuel,6300
100,Jordan Matthews,BUF,WR,1,NYJ,21,16,9.22,1.46,null,FanDuel,6300
100,Eddie Lacy,SEA,RB,1,GB,28,12,6.75,1.07,null,FanDuel,6300
100,Mitch Trubisky,CHI,QB,1,ATL,29,31,1.05,0.17,null,FanDuel,6300
104,Terrelle Pryor,WAS,WR,1,PHI,10,30,11.47,1.85,null,FanDuel,6200
104,Jimmy Graham,SEA,TE,1,GB,28,21,9.74,1.57,null,FanDuel,6200
104,Tevin Coleman,ATL,RB,1,CHI,20,13,9.21,1.49,null,FanDuel,6200
104,LeGarrette Blount,PHI,RB,1,WAS,23,28,7.12,1.15,null,FanDuel,6200
104,Willie Snead,NO,WR,1,MIN,5,3,0,0,null,FanDuel,6200
109,Ameer Abdullah,DET,RB,1,ARI,7,4,10.14,1.66,null,FanDuel,6100
109,Jonathan Stewart,CAR,RB,1,SF,32,32,9.26,1.52,null,FanDuel,6100
109,Delanie Walker,TEN,TE,1,LV,22,25,9.2,1.51,null,FanDuel,6100
109,Jeremy Maclin,BAL,WR,1,CIN,12,2,9.01,1.48,null,FanDuel,6100
109,Rishard Matthews,TEN,WR,1,LV,22,14,8.67,1.42,null,FanDuel,6100
109,Tyler Eifert,CIN,TE,1,BAL,8,8,8.55,1.4,null,FanDuel,6100
109,Marvin Jones,DET,WR,1,ARI,7,22,7.74,1.27,null,FanDuel,6100
109,Teddy Bridgewater,MIN,QB,1,NO,30,27,0,0,null,FanDuel,6100
109,Josh Johnson,NYJ,QB,1,DAL,null,null,null,null,null,FanDuel,6100
118,Deshone Kizer,CLE,QB,1,PIT,9,5,12.52,2.09,null,FanDuel,6000
118,Scott Tolzien,IND,QB,1,LAR,15,25,12.14,2.02,null,FanDuel,6000
118,Frank Gore,IND,RB,1,LAR,15,16,10.07,1.68,null,FanDuel,6000
118,Chris Hogan,NE,WR,1,KC,11,15,9.51,1.58,null,FanDuel,6000
118,Kenny Britt,CLE,WR,1,PIT,9,4,8.59,1.43,null,FanDuel,6000
118,Paul Perkins,NYG,RB,1,DAL,14,1,7.98,1.33,null,FanDuel,6000
118,Matt Forte,NYJ,RB,1,BUF,17,29,7.94,1.32,null,FanDuel,6000
118,Adrian Peterson,NO,RB,1,MIN,5,7,7.45,1.24,null,FanDuel,6000
118,Chad Henne,JAX,QB,1,HOU,3,3,0.92,0.15,null,FanDuel,6000
118,Patrick Mahomes,KC,QB,1,NE,2,11,0.57,0.1,null,FanDuel,6000
118,Case Keenum,MIN,QB,1,NO,30,27,0.43,0.07,null,FanDuel,6000
118,Landry Jones,PIT,QB,1,CLE,31,32,0.33,0.06,null,FanDuel,6000
118,Kevin Hogan,CLE,QB,1,PIT,9,5,0.33,0.06,null,FanDuel,6000
118,AJ McCarron,CIN,QB,1,BAL,8,9,0.31,0.05,null,FanDuel,6000
118,Geno Smith,NYG,QB,1,DAL,14,17,0.31,0.05,null,FanDuel,6000
118,Matt Cassel,TEN,QB,1,LV,22,22,0.29,0.05,null,FanDuel,6000
118,Nick Foles,PHI,QB,1,WAS,23,18,0.25,0.04,null,FanDuel,6000
118,Kellen Moore,DAL,QB,1,NYG,6,2,0.24,0.04,null,FanDuel,6000
118,Colt McCoy,WAS,QB,1,PHI,10,7,0.23,0.04,null,FanDuel,6000
118,Austin Davis,SEA,QB,1,GB,28,26,0.22,0.04,null,FanDuel,6000
118,EJ Manuel,LV,QB,1,TEN,19,28,0.21,0.04,null,FanDuel,6000
118,Ryan Mallett,BAL,QB,1,CIN,12,14,0.2,0.03,null,FanDuel,6000
118,Matt Schaub,ATL,QB,1,CHI,20,20,0.19,0.03,null,FanDuel,6000
118,Brett Hundley,GB,QB,1,SEA,4,4,0.19,0.03,null,FanDuel,6000
118,Sean Mannion,LAR,QB,1,IND,26,24,0.18,0.03,null,FanDuel,6000
118,Jimmy Garoppolo,NE,QB,1,KC,11,10,0.18,0.03,null,FanDuel,6000
118,Drew Stanton,ARI,QB,1,DET,24,30,0.15,0.02,null,FanDuel,6000
118,Derek Anderson,CAR,QB,1,SF,32,23,0.13,0.02,null,FanDuel,6000
118,Christian Hackenberg,NYJ,QB,1,BUF,17,13,0.13,0.02,null,FanDuel,6000
118,Chase Daniel,NO,QB,1,MIN,5,6,0.1,0.02,null,FanDuel,6000
118,Nathan Peterman,BUF,QB,1,NYJ,21,21,0.08,0.01,null,FanDuel,6000
118,Jacoby Brissett,IND,QB,1,LAR,15,25,0.05,0.01,null,FanDuel,6000
118,TJ Yates,BUF,QB,1,NYJ,21,21,0.02,0,null,FanDuel,6000
118,Kellen Clemens,LAC,QB,1,DEN,1,1,0.02,0,null,FanDuel,6000
118,Jake Rudock,DET,QB,1,ARI,7,12,0.01,0,null,FanDuel,6000
118,CJ Beathard,SF,QB,1,CAR,25,19,0.01,0,null,FanDuel,6000
118,Chad Kelly,DEN,QB,1,LAC,16,15,0,0,null,FanDuel,6000
118,Tyler Bray,KC,QB,1,NE,2,11,0,0,null,FanDuel,6000
118,Taylor Heinicke,MIN,QB,1,NO,30,27,0,0,null,FanDuel,6000
118,Alek Torgersen,WAS,QB,1,PHI,10,7,0,0,null,FanDuel,6000
118,Brandon Allen,LAR,QB,1,IND,26,24,0,0,null,FanDuel,6000
118,Taysom Hill,NO,QB,1,MIN,5,6,0,0,null,FanDuel,6000
118,Zac Dysert,DAL,QB,1,NYG,6,2,0,0,null,FanDuel,6000
118,Mark Sanchez,CHI,QB,1,ATL,29,31,0,0,null,FanDuel,6000
118,Alex Tanney,TEN,QB,1,LV,22,22,0,0,null,FanDuel,6000
118,Nick Mullens,SF,QB,1,CAR,25,19,0,0,null,FanDuel,6000
118,Trevor Knight,ATL,QB,1,CHI,20,20,0,0,null,FanDuel,6000
118,Joe Callahan,GB,QB,1,SEA,4,4,0,0,null,FanDuel,6000
118,Phillip Walker,IND,QB,1,LAR,15,25,0,0,null,FanDuel,6000
118,Kyle Sloter,MIN,QB,1,NO,30,27,0,0,null,FanDuel,6000
118,Davis Webb,NYG,QB,1,DAL,14,17,0,0,null,FanDuel,6000
118,Bryce Petty,NYJ,QB,1,BUF,17,13,0,0,null,FanDuel,6000
118,Nate Sudfeld,PHI,QB,1,WAS,23,18,0,0,null,FanDuel,6000
118,Joe Webb,BUF,QB,1,NYJ,21,21,0,0,null,FanDuel,6000
118,Garrett Gilbert,CAR,QB,1,SF,32,23,0,0,null,FanDuel,6000
118,Joshua Dobbs,PIT,QB,1,CLE,31,32,0,0,null,FanDuel,6000
118,Connor Cook,LV,QB,1,TEN,19,28,0,0,null,FanDuel,6000
118,Jeff Driskel,CIN,QB,1,BAL,8,9,0,0,null,FanDuel,6000
118,Jameill Showers,DAL,QB,1,NYG,6,2,0,0,null,FanDuel,6000
118,Cooper Rush,DAL,QB,1,NYG,6,2,0,0,null,FanDuel,6000
118,Trevone Boykin,SEA,QB,1,GB,28,26,0,0,null,FanDuel,6000
118,Cardale Jones,LAC,QB,1,DEN,1,1,0,0,null,FanDuel,6000
118,Brad Kaaya,CAR,QB,1,SF,32,23,0,0,null,FanDuel,6000
118,Blaine Gabbert,ARI,QB,1,DET,24,30,0,0,null,FanDuel,6000
118,Tyler Ferguson,TEN,QB,1,LV,22,22,0,0,null,FanDuel,6000
118,Matt McGloin,null,QB,1,WAS,null,null,null,null,null,FanDuel,6000
118,Germone Hopper,null,WR,1,HOU,null,null,null,null,null,FanDuel,6000
118,De'Quan Hampton,null,WR,1,MIN,null,null,null,null,null,FanDuel,6000
118,Eli Jenkins,null,QB,1,DEN,null,null,null,null,null,FanDuel,6000
118,Joel Stave,null,QB,1,NE,null,null,null,null,null,FanDuel,6000
118,Bart Houston,null,QB,1,CLE,null,null,null,null,null,FanDuel,6000
118,Keevan Lucas,null,WR,1,WAS,null,null,null,null,null,FanDuel,6000
118,Marvin Bracy,null,WR,1,LAR,null,null,null,null,null,FanDuel,6000
118,Zach Terrell,null,QB,1,CIN,null,null,null,null,null,FanDuel,6000
118,Skyler Howard,null,QB,1,GB,null,null,null,null,null,FanDuel,6000
118,Nick Marshall,null,QB,1,BUF,null,null,null,null,null,FanDuel,6000
118,Mike Bercovici,null,QB,1,DEN,null,null,null,null,null,FanDuel,6000
118,Andrew Price,null,TE,1,DET,null,null,null,null,null,FanDuel,6000
118,Tommy Armstrong Jr.,null,QB,1,MIN,null,null,null,null,null,FanDuel,6000
118,Zach Mettenberger,null,QB,1,CLE,null,null,null,null,null,FanDuel,6000
118,Garrett Grayson,null,QB,1,MIN,null,null,null,null,null,FanDuel,6000
118,Matt Barkley,TEN,QB,1,SF,null,null,null,null,null,FanDuel,6000
118,Wes Lunt,null,QB,1,MIN,null,null,null,null,null,FanDuel,6000
118,David Olson,null,QB,1,CIN,null,null,null,null,null,FanDuel,6000
118,Dane Evans,null,QB,1,WAS,null,null,null,null,null,FanDuel,6000
118,Jason Thompson,null,QB,1,NE,null,null,null,null,null,FanDuel,6000
118,Dustin Vaughan,null,QB,1,CIN,null,null,null,null,null,FanDuel,6000
118,Robert Griffin III,null,QB,1,CLE,null,null,null,null,null,FanDuel,6000
118,Brandon Weeden,null,QB,1,HOU,null,null,null,null,null,FanDuel,6000
118,Keith Wenning,null,QB,1,BUF,null,null,null,null,null,FanDuel,6000
118,Jerod Evans,null,QB,1,WAS,null,null,null,null,null,FanDuel,6000
118,Ryan Nassib,null,QB,1,MIN,null,null,null,null,null,FanDuel,6000
118,Mitch Leidner,null,QB,1,MIN,null,null,null,null,null,FanDuel,6000
118,Dan Orlovsky,null,QB,1,LAR,null,null,null,null,null,FanDuel,6000
212,Zach Ertz,PHI,TE,1,WAS,23,22,9.26,1.57,null,FanDuel,5900
212,Randall Cobb,GB,WR,1,SEA,4,17,9.1,1.54,null,FanDuel,5900
212,Theo Riddick,DET,RB,1,ARI,7,4,9.06,1.54,null,FanDuel,5900
212,Donte Moncrief,IND,WR,1,LAR,15,28,8.41,1.43,null,FanDuel,5900
212,Tyler Lockett,SEA,WR,1,GB,28,32,7.73,1.31,null,FanDuel,5900
217,Kyle Rudolph,MIN,TE,1,NO,30,15,10.31,1.78,null,FanDuel,5800
217,Rob Kelley,WAS,RB,1,PHI,10,11,9.54,1.64,null,FanDuel,5800
217,Sterling Shepard,NYG,WR,1,DAL,14,11,8.41,1.45,null,FanDuel,5800
217,Hunter Henry,LAC,TE,1,DEN,1,16,6.77,1.17,null,FanDuel,5800
217,Derrick Henry,TEN,RB,1,LV,22,23,6.19,1.07,null,FanDuel,5800
217,Latavius Murray,MIN,RB,1,NO,30,30,5.97,1.03,null,FanDuel,5800
217,Danny Amendola,NE,WR,1,KC,11,15,5.6,0.97,null,FanDuel,5800
217,Samaje Perine,WAS,RB,1,PHI,10,11,3.5,0.6,null,FanDuel,5800
217,James Conner,PIT,RB,1,CLE,31,31,2.76,0.48,null,FanDuel,5800
217,Quincy Enunwa,NYJ,WR,1,BUF,17,10,0,0,null,FanDuel,5800
217,Mike Williams,LAC,WR,1,DEN,1,1,0,0,null,FanDuel,5800
217,Darren McFadden,DAL,RB,1,NYG,6,6,0,0,null,FanDuel,5800
229,Mike Wallace,BAL,WR,1,CIN,12,2,9.64,1.69,null,FanDuel,5700
229,Adam Thielen,MIN,WR,1,NO,30,23,9.3,1.63,null,FanDuel,5700
229,John Brown,ARI,WR,1,DET,24,24,8.92,1.56,null,FanDuel,5700
229,Martellus Bennett,GB,TE,1,SEA,4,4,7.8,1.37,null,FanDuel,5700
229,Corey Coleman,CLE,WR,1,PIT,9,4,7.52,1.32,null,FanDuel,5700
229,Marqise Lee,JAX,WR,1,HOU,3,5,5.9,1.04,null,FanDuel,5700
229,Robert Woods,LAR,WR,1,IND,26,12,5.27,0.92,null,FanDuel,5700
229,Travis Benjamin,LAC,WR,1,DEN,1,1,4.47,0.78,null,FanDuel,5700
229,Thomas Rawls,SEA,RB,1,GB,28,12,0,0,null,FanDuel,5700
238,Ted Ginn,NO,WR,1,MIN,5,3,10.07,1.8,null,FanDuel,5600
238,Kevin White,CHI,WR,1,ATL,29,19,8.48,1.51,null,FanDuel,5600
238,Cole Beasley,DAL,WR,1,NYG,6,7,8.4,1.5,null,FanDuel,5600
238,Duke Johnson,CLE,RB,1,PIT,9,26,8.37,1.49,null,FanDuel,5600
238,James White,NE,RB,1,KC,11,20,7.32,1.31,null,FanDuel,5600
243,Darren Sproles,PHI,RB,1,WAS,23,28,7.66,1.39,null,FanDuel,5500
243,Eric Ebron,DET,TE,1,ARI,7,1,7.37,1.34,null,FanDuel,5500
243,Corey Davis,TEN,WR,1,LV,22,14,7.22,1.31,null,FanDuel,5500
243,Jamaal Charles,DEN,RB,1,LAC,16,24,7.11,1.29,null,FanDuel,5500
243,Giovani Bernard,CIN,RB,1,BAL,8,9,6.85,1.25,null,FanDuel,5500
243,Jeremy Hill,CIN,RB,1,BAL,8,9,6.41,1.17,null,FanDuel,5500
243,Jeremy Kerley,NYJ,WR,1,BUF,17,10,0,0,null,FanDuel,5500
250,Jason Witten,DAL,TE,1,NYG,6,20,7.23,1.34,null,FanDuel,5400
250,Marquise Goodwin,SF,WR,1,CAR,25,21,6.9,1.28,null,FanDuel,5400
250,Chris Thompson,WAS,RB,1,PHI,10,11,6.88,1.27,null,FanDuel,5400
250,Curtis Samuel,CAR,WR,1,SF,32,26,5.59,1.04,null,FanDuel,5400
250,Jalen Richard,LV,RB,1,TEN,19,2,4.66,0.86,null,FanDuel,5400
250,Dion Lewis,NE,RB,1,KC,11,20,3.7,0.69,null,FanDuel,5400
256,CJ Prosise,SEA,RB,1,GB,28,12,5.63,1.06,null,FanDuel,5300
256,Antonio Gates,LAC,TE,1,DEN,1,16,5.47,1.03,null,FanDuel,5300
256,Jamaal Williams,GB,RB,1,SEA,4,5,4.31,0.81,null,FanDuel,5300
256,Kamar Aiken,IND,WR,1,LAR,15,28,4.15,0.78,null,FanDuel,5300
256,Joe Williams,SF,RB,1,CAR,25,10,0,0,null,FanDuel,5300
256,Malcolm Mitchell,NE,WR,1,KC,11,15,0,0,null,FanDuel,5300
262,Denver Broncos,DEN,DST,1,LAC,null,null,8.3,1.6,null,FanDuel,5200
262,Kendall Wright,CHI,WR,1,ATL,29,19,7.87,1.51,null,FanDuel,5200
262,Robby Anderson,NYJ,WR,1,BUF,17,10,7.64,1.47,null,FanDuel,5200
262,CJ Fiedorowicz,HOU,TE,1,JAX,13,17,6.9,1.33,null,FanDuel,5200
262,Paul Richardson,SEA,WR,1,GB,28,32,6.49,1.25,null,FanDuel,5200
262,Allen Hurns,JAX,WR,1,HOU,3,5,5.72,1.1,null,FanDuel,5200
262,Josh Doctson,WAS,WR,1,PHI,10,30,5.28,1.02,null,FanDuel,5200
262,JJ Nelson,ARI,WR,1,DET,24,24,5.27,1.01,null,FanDuel,5200
262,Seth Roberts,LV,WR,1,TEN,19,31,5.13,0.99,null,FanDuel,5200
262,Deandre Washington,LV,RB,1,TEN,19,2,4.46,0.86,null,FanDuel,5200
262,Cordarrelle Patterson,LV,WR,1,TEN,19,31,3.09,0.59,null,FanDuel,5200
262,Alfred Morris,DAL,RB,1,NYG,6,6,1.2,0.23,null,FanDuel,5200
262,Jeff Janis,GB,WR,1,SEA,4,17,0.66,0.13,null,FanDuel,5200
262,John Ross,CIN,WR,1,BAL,8,20,0,0,null,FanDuel,5200
262,Alfred Blue,HOU,RB,1,JAX,13,14,0,0,null,FanDuel,5200
262,Wayne Gallman,NYG,RB,1,DAL,14,1,0,0,null,FanDuel,5200
278,Zay Jones,BUF,WR,1,NYJ,21,16,8.58,1.68,null,FanDuel,5100
278,Houston Texans,HOU,DST,1,JAX,null,null,8.3,1.63,null,FanDuel,5100
278,Coby Fleener,NO,TE,1,MIN,5,14,7.68,1.51,null,FanDuel,5100
278,Jack Doyle,IND,TE,1,LAR,15,9,6.92,1.36,null,FanDuel,5100
278,Torrey Smith,PHI,WR,1,WAS,23,13,6.72,1.32,null,FanDuel,5100
278,Shane Vereen,NYG,RB,1,DAL,14,1,6.52,1.28,null,FanDuel,5100
278,Taylor Gabriel,ATL,WR,1,CHI,20,27,6.2,1.22,null,FanDuel,5100
278,Devin Funchess,CAR,WR,1,SF,32,26,6.04,1.18,null,FanDuel,5100
278,Kenny Golladay,DET,WR,1,ARI,7,22,6.03,1.18,null,FanDuel,5100
278,Terrance Williams,DAL,WR,1,NYG,6,7,5.91,1.16,null,FanDuel,5100
278,Chris Conley,KC,WR,1,NE,2,9,5.56,1.09,null,FanDuel,5100
278,Brandon LaFell,CIN,WR,1,BAL,8,20,5.37,1.05,null,FanDuel,5100
278,Jermaine Kearse,NYJ,WR,1,BUF,17,10,5.26,1.03,null,FanDuel,5100
278,Rex Burkhead,NE,RB,1,KC,11,20,4.5,0.88,null,FanDuel,5100
278,Robert Turbin,IND,RB,1,LAR,15,16,4.41,0.86,null,FanDuel,5100
278,Ardarius Stewart,NYJ,WR,1,BUF,17,10,4.29,0.84,null,FanDuel,5100
278,Orleans Darkwa,NYG,RB,1,DAL,14,1,2.61,0.51,null,FanDuel,5100
278,Fitzgerald Toussaint,PIT,RB,1,CLE,31,31,0,0,null,FanDuel,5100
278,Knile Davis,null,RB,1,CLE,null,null,null,null,null,FanDuel,5100
278,Ryan Mathews,null,RB,1,WAS,null,null,null,null,null,FanDuel,5100
298,Stephen Gostkowski,NE,K,1,KC,11,11,6.9,1.38,null,FanDuel,5000
298,Breshad Perriman,BAL,WR,1,CIN,12,2,5.69,1.14,null,FanDuel,5000
298,Justin Tucker,BAL,K,1,CIN,12,16,5.3,1.06,null,FanDuel,5000
298,Laquon Treadwell,MIN,WR,1,NO,30,23,5.17,1.03,null,FanDuel,5000
298,Charcandrick West,KC,RB,1,NE,2,3,4.27,0.85,null,FanDuel,5000
298,D'Onta Foreman,HOU,RB,1,JAX,13,14,4.01,0.8,null,FanDuel,5000
298,Jerick McKinnon,MIN,RB,1,NO,30,30,3.79,0.76,null,FanDuel,5000
298,Vernon Davis,WAS,TE,1,PHI,10,2,3.06,0.61,null,FanDuel,5000
298,Aldrick Robinson,SF,WR,1,CAR,25,21,2.62,0.52,null,FanDuel,5000
298,Dwayne Allen,NE,TE,1,KC,11,5,2.59,0.52,null,FanDuel,5000
298,Phillip Dorsett,NE,WR,1,KC,11,15,1.89,0.38,null,FanDuel,5000
298,TJ Yeldon,JAX,RB,1,HOU,3,15,0,0,null,FanDuel,5000
298,Jaelen Strong,HOU,WR,1,JAX,13,6,0,0,null,FanDuel,5000
298,Will Fuller,HOU,WR,1,JAX,13,6,0,0,null,FanDuel,5000
